Qualified for pricelist >= 2024;Code;Name;Description;LicenseDuration;MaintenanceDuration;ExpectedDeliveryTime;PaymentModel;ExpectedInvoiceDate;GrantOfRights;Profile;MandatoryOptional_ID;LicenseMethod;Cost_Center;Discount_Rate;Operational_Profit_Rate;OperationalProfitType;Perpetual;Support_Hours_Amount;UpdateRight;Apply_Withholding_Tax
yes;21;Development Maintenance for Project License;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing Project License

Please note:
- Updates and bugfixes are provided for the latest software version only.
- Tested only with the latest software version of related products (e.g., ELEKTROBIT TOOLING).";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
;22;License Upgrade (Concept to Project);"

License upgrade does not renew maintenance period.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;23;Product Line License Maintenance (OsekCore);Extended maintenance per additional year.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;24;Platform Development License Software Maint. Service;"

Includes software upgrades to new AutoCore versions, updates and patch releases for the µC derivate.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;25;Dongled Evaluation License;Three month time-limited, full-featured license. Max. two extensions of one month each.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Dongle License File;6400;10;50;Fix rate;FALSE;;none;TRUE
;26;Floating Evaluation License;"The license is valid for the ordering company for the purpose of evaluating Elektrobit’s (EB) software in terms of usability, included features and applicability.

EB recognizes correct use, if the evaluation license agreement is filled out and signed by CUSTOMER and EB.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Server Activation Code;6400;10;50;Fix rate;FALSE;;none;TRUE
;27;Dongled License incl. Firmware License;Perpetual, full-featured license. Includes one year software updates and patch releases.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Dongle License File;;10;50;Fix rate;FALSE;;none;TRUE
yes;28;Partner License;"- Single-User Licenses (as defined in Elektrobit T&C) with technical restriction to only configure partners modules
- Includes the right to distribute
- Including MAINTENANCE (as defined on page ""Definitions"")";12 months;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;n/a;License;;FlexNet Publisher Application Activation Code;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;29;Server Based License;Perpetual floating license, server based.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;30;Maintenance Dongled License (EB GUIDE);"

- Annual fee

- Fixing of errors reported by licensee.

- Minor version updates during 12 months (including new features)

- Command Server access";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Dongle License File;;10;50;Fix rate;FALSE;;none;TRUE
