Qualified for pricelist >= 2024;Code;Name;Description;LicenseDuration;MaintenanceDuration;ExpectedDeliveryTime;PaymentModel;ExpectedInvoiceDate;GrantOfRights;Profile;MandatoryOptional_ID;LicenseMethod;Cost_Center;Discount_Rate;Operational_Profit_Rate;OperationalProfitType;Perpetual;Support_Hours_Amount;UpdateRight;Apply_Withholding_Tax
;190;EB tresos AutoCore Bootloader for VAG/MLBevo (CAN);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;191;EB tresos AutoCore Bootloader for VAG/MLBevo (FlexRay);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;192;EB tresos AutoCore Bootloader for Daimler (CAN);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;193;EB tresos AutoCore Bootloader for Daimler (FlexRay);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;194;MCAL Modules Update (excluding MLBevo parts);"Update with a newer version of MCALs:

- Plugin Creation/Integration into EB tresos Studio and 

- Compile tests of updated MCAL modules



The updated modules can be downloaded from EB command to be integrated into an existing project.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;195;Production License (EB GUIDE);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;196;Warranty Extension;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;197;Development Maintenance (Os) Product Line License;"Support before S.O.P;

- Valid for one year.

- Customer get access to EB product support team and known problems will be reported.  

- Updates, e.g. patches and service releases.



For further details please refer to PD_EB_tresos_Maintenance_and_Support_Annex.pdf";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;198;Production Maintenance (OS);"Support after S.O.P; 

This includes:   

- Reports of known problems

- Behavior observation 

- Support of product specific problem analysis

- Patch deliveries



For further details please refer to: PD_EB_tresos_Maintenance_and_Support_Annex.pdf";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;199;Safety Concept License;"- The product can be used for the development of ECU run-time software, which is

not used for production prototypes (aka C-samples) or production of end-consumer

products.

- Typical use cases: to develop prototyping or demonstrator systems for the

purpose of acquiring customers or to proof technical concepts.

- Please inquire for availability. Concept Licenses are available for selected μC

derivatives only.

- Production: no; μC: one target derivative, compiler and set of compiler options;

Number of projects: unlimited; Duration: one year

- The Safety Concept License does not include a Safety Manual and a Safety Statement from EB which are necessary to use the software in functional safety related projects.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;200;Safety Project License;"- The product is used for production projects restricted to one ECU project. We

recognize correct use, if all of the following conditions are met:

a. The run-time software is developed for one ECU, only.

b. The ECU is used for one car platform of one OEM brand, only.

- Typical use case: to develop and produce one ECU for one vehicle platform.

- Please inquire for availability. Project Licenses are available for selected μC

derivatives only.

- Production: yes; μC: one target derivative, compiler and set of compiler options;

Number of projects: one; Duration: perpetual;

- Includes one year Safety Life Cycle Project Maintenance.

- EB recommends an ongoing Safety Life Cycle Project Maintenance contract for the time period the licensed software is in use.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;201;Safety Product-Line License;"- The product is used for production projects restricted to one product line of ECUs.

We recognize correct use, if the following conditions are all met:

a. The ECUs of one product line carry out the same basic control functionality.

b. Variations of the control functionalities only reflect the differences of the car

platform, for which they are build.

c. Variations of the control functionalities are implemented in the ECU software by

calibration parameters, calibration tables, pre-compile or pre-build software

configuration, only.

- Typical use case: to develop and produce one line of ECUs with alike control

functionality for different vehicles.

Production: yes; μC: one target, derivate, compiler and set of compiler options;

Number of projects: unlimited, different OEMs possible; Duration: perpetual;

- Includes one year Safety Life Cylce Product-Line Maintenance.

- EB recommends an ongoing Safety Life Cycle Product-Line

Maintenance contract for the time period the licensed software is in use.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;202;Safety Life Cycle Project Maintenance;"- Life cycle: Time period the licensed software is in use.

- Customer gets access to EB product support team and known problems will be reported

- Updates, e.g. patches and services releases



For further details please refer to PD_EB_tresos_Maintenance_and_Support_Annex.pdf";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;203;Safety Life Cycle Product-Line Maintenance;"- Life cycle: Time period the licensed software is in use.

- Customer gets access to EB product support team and known problems will be reported

- Updates, e.g. patches and services releases



For further details please refer to PD_EB_tresos_Maintenance_and_Support_Annex.pdf";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;204;Freescale A-Sample License;"Discounted license with provisions only for development work. Production deployment of Software using this license is prohibited. The Freescale A-sample License has a two year term. For a subsequent purchase of a Freescale Project License or Freescale Product Line License the cost of the Freescale A-sample License originally purchased will apply to the list of the production use license. 

one year support and maintenance is included.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;205;Freescale A-Sample License Support;Support includes delivery of Freescale Software updates to new releases of the same major version number on availability. Support fees will be invoiced in advance for a period of twelve months per customer. Under a maintenance contract upgrades to new major versions are available at a 40% discount.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;206;Freescale Project License;"This is a production use license that applies to only Freescale MCUs.

- For use in one customer target project = one ECU for one OEM

- Unrestricted in time and production volume

- For initial delivery and maintenance a Freescale DISM Pack is required.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
;207;Freescale Project License Support;Support includes delivery of Freescale Software updates to new releases of the same major version number on availability. Support fees will be invoiced in advance for a period of twelve months per customer. Under a maintenance contract upgrades to new major versions are available at a 40% discount.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;208;Freescale Product Line License;"This is a production use license that applies to only Freescale MCUs.

- For use with one MCU family in one customer product line

- Unrestricted in time and production volume

- For initial delivery and maintenance a Freescale DISM Pack is required.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
;209;Freescale Product Line License Support;Support includes delivery of Freescale Software updates to new releases of the same major version number on availability. Support fees will be invoiced in advance for a period of twelve months per customer. Under a maintenance contract upgrades to new major versions are available at a 40% discount.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;210;Infineon Evaluation License (6 months);Evaluation license for 6 months for one project e.g. front body controller at one OEM.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
;211;Infineon Evaluation License (1 year);Evaluation license for one year for one project e.g. front body controller at one OEM (this amount is credited when upgrading to a Development or Reproduction License). one year support and maintenance is included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;none;TRUE
;212;Infineon Evaluation License Support;Support includes delivery of Updates of the INFINEON Software on availability. Support is limited to 15 hours per year. Support fees will be invoiced in advance for a period of twelve months per customer.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;none;TRUE
yes;213;Infineon Development License;"- THIRD-PARTY COMPONENT (as defined in Elektrobit T&C)
- Terms of Use according to Infineon Technologies AG (as defined in Terms of Use https://www.infineon.com/cms/en/about-infineon/usage-terms/)
- Specification defined in section ""Products and services""";18 months;n/a;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;n/a;License;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
;214;Infineon Support and Maintenance for Development License (inactive);Support includes delivery of Updates of the INFINEON Software on availability. Support is limited to 25 hours per year. Support fees will be invoiced in advance for a period of twelve months per customer.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
yes;215;Infineon Development and Reproduction License;"- THIRD-PARTY COMPONENT (as defined in Elektrobit T&C) 
- Terms of Use according to Infineon Technologies AG (as defined in Terms of Use https://www.infineon.com/cms/en/about-infineon/usage-terms/) 
- Specification defined in section ""Products and services"" 

Additionally, the restrictions according to the LICENSE PROFILE defined on page ""Scope of license"" apply.";perpetual;n/a;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;n/a;License;;no technical license protection;6400;10;;Calculated;TRUE;;none;TRUE
yes;216;Infineon Support and Maintenance for Development and Reproduction License;"- THIRD-PARTY COMPONENT (as defined in Elektrobit T&C) 
- Terms of Use according to Infineon Technologies AG (as defined in Terms of Use https://www.infineon.com/cms/en/about-infineon/usage-terms/) 
- Specification defined in section ""Products and services"" 
- Includes 15-hour Elektrobit product-related support by phone or support portal. Quota valid for 12 months";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;no technical license protection;6400;10;;Calculated;FALSE;15;TotalAmountAsUpdateRight;TRUE
;217;Floating License (EB GUIDE);"- Perpetual DEVELOPMENT LICENSE per seat

- Includes free UPDATES to new product versions within the same primary version number for the first year. 

- Includes 10h support for the first year";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Floating License File;6400;10;50;Fix rate;TRUE;10;UpdateRightByConfiguration;TRUE
;218;Node Locked License (EB GUIDE);"- Perpetual DEVELOPMENT LICENSE per seat

- Includes free UPDATES to new product versions within the same primary version number for the first year. 

- Includes 10h support for the first year



- Node locked licenses for EB GUIDE require a permanent connected LAN adapter. WLAN network connection cannot be supported with the official Oracle Java JRE delivered with EB GUIDE.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Node-Locked License File;6400;10;50;Fix rate;TRUE;10;UpdateRightByConfiguration;TRUE
;219;Node Locked License Upgrade (EB GUIDE);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Node-Locked License File;6400;10;50;Fix rate;TRUE;;none;TRUE
;220;Dongled License Upgrade (EB GUIDE);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Dongle License File;6400;10;50;Fix rate;TRUE;;none;TRUE
;221;Dongled License Maintenance (EB GUIDE);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months. 

- Includes 10h support for 12 months";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Dongle License File;6400;10;50;Fix rate;TRUE;10;TotalAmountAsUpdateRight;TRUE
;222;Floating License Upgrade (EB GUIDE);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Floating License File;6400;10;50;Fix rate;TRUE;;none;TRUE
;223;Floating License Maintenance (EB GUIDE);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months. 

- Includes 10h support for 12 months";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Floating License File;6400;10;50;Fix rate;TRUE;10;TotalAmountAsUpdateRight;TRUE
;224;Temporary Node Locked License (EB GUIDE);"- Per seat

- Temporary DEVELOPMENT LICENSE for a 3 months period. 

- Includes free UPDATES to new product versions within the same primary version number.



- Node locked licenses for EB GUIDE require a permanent LAN adapter connected. WLAN network connection cannot be supported with the official Oracle Java JRE delivered with EB GUIDE.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Node-Locked License File;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;225;Temporary Dongled License (EB GUIDE);"- Per seat

- Temporary DEVELOPMENT LICENSE for a 3 months period. 

- Includes free UPDATES to new product versions within the same primary version number.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Dongle License File;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;226;Dongled License (leased);Full-featured license, valid for 3 months. Includes software updates and patch releases for 3 months. If the customers buys a perpetual license, EB will not refund the expenses for such a leased license.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Dongle License File;6400;10;50;Fix rate;FALSE;;none;TRUE
yes;227;Floating License (leased);"- Floating License per seat (as defined in Elektrobit T&C)
- Including MAINTENANCE (as defined on page ""Definitions"")";3 months;3 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Elektrobit Tooling Licence;License;;FlexNet Publisher Server Activation Code;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;228;IP1;Module Integration Package;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;229;IP1.up;Update of a Module Integration Package;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;230;QP1;Module qualification package (QP1);#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;231;QP1.up;"The update of the module qualification package (QP1.up) includes the re-execution of module tests.

A qualification report is delivered.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;232;IP2;"The stack integration package (IP2) includes the integration of dedicated modules 

- Into a software stack 

- And basic tests of this software stack.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;233;IP2.up;"The update of the stack integration package (IP2.up) includes a reintegration of dedicated modules 

- Into a software stack 

- And basic tests of this software stack";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;234;QP2;The qualification package (QP2) performs execution of stack tests of a software stack.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;235;QP2.up;Update of qualification package (QP2) which performs execution of stack tests of a software stack.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;236;IP3;Reference Integration Package;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;237;IP3.up;Update of a Reference Integration Package;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;238;QP3;"The reference qualification package (QP3) includes the execution of software tests of a reference project.

A qualification report is delivered.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;239;QP3.up;"The update of the reference qualification package (QP3.up) includes the re-execution of software tests of an updated reference project.

A qualification report is delivered.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
yes;240;Development Maintenance for Product Line License;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"") 
- Valid for existing Product Line License 

Please note: 
- Updates and bugfixes are provided for the latest software version only. 
- Tested only with the latest software version of related products (e.g., ELEKTROBIT TOOLING).";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
yes;241;Development Maintenance for Company License for Tier 1;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing Company License for Tier 1

Please note:
- Updates and bugfixes are provided for the latest software version only.
- Tested only with the latest software version of related products (e.g., ELEKTROBIT TOOLING).";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
;242;Educational License;To use the Deliverables for educational, non-commercial purposes in universities and technical schools. With respect to EB Products that are tools, Licensee shall generate software modules in object code only and shall not disclose or provide the generated software modules to any third party. NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT, IT IS ACKNOWLEDGED AND AGREED THAT ALL DELIVERBLES AND SERVICES PROVIDED UNDER OR IN CONNECTION WITH AN EDUCATIONAL LICENSE ARE PROVIDED ON A STRICTLY “AS IS” BASIS, WITHOUT RECOURSE OR WARRANTY OF ANY KIND. WITHOUT LIMITING THE FOREGOING, THE PROVISIONS OF SECTIONS 7.1, 7.2 and 8 SHALL NOT APPLY.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;243;Run-time License 10 User;"

One time purchase only. Perpetual; Includes free updates to new product versions within the same primary version number.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;244;Node Locked License Maintenance, Run-time (EB Assist ADTF Toolbox);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;TRUE;;TotalAmountAsUpdateRight;TRUE
;245;Maintenance (EB Assist ADTF);"

20% of total amount of developer licenses within a customer. 

Includes free updates to new product versions within the same primary version number. 10 h support per Development license; 



10% maintenance fee for all runtime licenses and toolboxes. No support for runtime licenses nor toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;246;MIT Run-time License 1 User;"

Perpetual, no updates included.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;247;OEM-restricted Company License for Tier 1;"The CUSTOMER gets the right to use the license under the following condition:
a. The run-time software is used for one Vehicle OEM Brand only.
b. The run-time software is used for one µC family and compiler version only.
- Including MAINTENANCE (as defined on page ""Definitions"")

Additionally, the restrictions according to the LICENSE PROFILE defined on page ""Scope of license"" apply.";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Reproduction and Distribution License;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
yes;248;Development Maintenance for OEM-restricted Company License for Tier 1;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing OEM-restricted Company License for Tier 1

Please note:
- Updates and bugfixes are provided for the latest software version only.
- Tested only with the latest software version of related products (e.g., ELEKTROBIT TOOLING).";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
yes;249;Porting Package;Porting of the modules to support a specific platform, including qualification tests.;n/a;n/a;In mutual alignment with the project;One-time payment;With FINAL DELIVERY;n/a;Porting;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;250;Qualification for new Derivatives or new Compiler Release;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;;10;50;Fix rate;FALSE;;none;FALSE
;251;Porting & Qualification to new Derivatives or new Compiler Release;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Porting;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;252;Qualification for new Compiler Toolchain;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;253;Porting & Qualification to new Compiler Toolchain;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Porting;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;254;Dongled License via EB Hardware - Support & Maintenance (BM);Extension of software upgrades, updates and patch releases for one year.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB Hardware License File;6400;10;50;Fix rate;TRUE;;TotalAmountAsUpdateRight;TRUE
;255;Node Locked Evaluation License (EB GUIDE);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;EB GUIDE Node-Locked License File;6400;10;50;Fix rate;FALSE;;none;TRUE
;256;Integration Package for Bootloader;"Integration of all the modules which belong to the Bootloader (hw-dependent and hw-independant).

Integration tests are executed on the target/compiler of the project.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;257;Qualification Package for Bootloader;Qualification tests of the hw-independent modules which belong to the bootloader on the project target/compiler.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;258;Node Locked License 20 User - Maintenance;"

- Includes free UPDATES to new product versions within the same primary version number for the first year. 

- Includes 10h support for the first year.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;259;Floating License Maintenance Extension, Developer (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months

- Includes 10h 1st Level Support

- Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Server Activation Code;6400;10;;Calculated;TRUE;10;TotalAmountAsUpdateRight;TRUE
;260;Floating License Maintenance Extension, Run-time (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months

- Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;FlexNet Publisher Server Activation Code;6400;10;;Calculated;TRUE;;TotalAmountAsUpdateRight;TRUE
;261;Node Locked License, Run-time (EB Assist ADTF Toolboxes);"- Perpetual TOOLBOX DEVELOPER LICENSE per seat;

-Includes free UPDATES to new product versions within the same primary version number for the first year

-Applies to ADTF 2 - Calibration Toolbox or ADTF 2 – ML/SL Toolbox";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;TRUE;;UpdateRightByConfiguration;TRUE
;262;Node Locked License Maintenance Extension, Run-time (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months

- Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;TRUE;;TotalAmountAsUpdateRight;TRUE
;263;Hardware & Development License;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;264;QP4 (without ordering CAN Stack);Qualification tests of this module on the project target/compiler.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Qualification Package;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;265;Presentation License (EB GUIDE);Presentation License valid for 12 months. Free UPDATES to new product versions within the same primary version number for 12 months.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;none;TRUE
;266;Development License (EB GUIDE TF);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;0;none;TRUE
yes;267;Template;Templates are only example code. Templates can be re-used in ECU software of CUSTOMER if CUSTOMER has performed sufficient qualification.;n/a;n/a;In mutual alignment with the project;One-time payment;With FINAL DELIVERY;Reproduction and Distribution License;License;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;268;Freescale DISM Pack;"The DISM Pack contains:

- Initial Delivery of SW package and configuration tool

- License file valid one year for SW package and configuration tool

- One year access to:

* Technical Support (Email)

* Quality Package

* Hot fixes and patches

* Software updates (new releases)

And for customers not holding a production license yet:

- Development License for building ECU samples and prototypes (max. 500 units) valid for one year for a maximum of 3 development projects in parallel (but no series production rights).";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
;269;Freescale License 250k units;"This is a production use license that applies to only Freescale MCUs.

- License for use with one MCU family

- Unrestricted in time

- Limited to total ECU production volume of 250k units

- For initial delivery and maintenance a Freescale DISM Pack is required.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;none;TRUE
;270;Freescale Family Multi Project License;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;271;Single-User License;"- Single-User License (as defined in Elektrobit T&C)
- Including MAINTENANCE (as defined on page ""Definitions"")";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Elektrobit Tooling Licence;License;;FlexNet Publisher Application Activation Code;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
yes;272;Single-User License Support & Maintenance;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing Single-User License (as defined in Elektrobit T&C)";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;FlexNet Publisher Application Activation Code;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
;273;Dongled License change from Studio for ACG6;License change from Studio for ACG6 to EB tresos Studio for ACG7. After license change this license can explecitely used for EB tresos Studio for ACG7. Maintenance for EB tresos Studio for ACG6 (if existing) will be transfered to EB tresos Studio for ACG7.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;274;Node Locked License change from Studio for ACG6;License change from EB tresos Studio for ACG6 to EB tresos Studio for ACG7. After license change this license can explecitely used for EB tresos Studio for ACG7. Maintenance for EB tresos Studio for ACG6 (if existing) will be transfered to EB tresos Studio for ACG7.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;275;Floating License change from Studio for ACG6;License change from EB tresos Studio for ACG6 to EB tresos Studio for ACG7. After license change this license can explecitely used for EB tresos Studio for ACG7. Maintenance for EB tresos Studio for ACG6 (if existing) will be transfered to EB tresos Studio for ACG7.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;276;Single-User License (leased);"- Single-User License (as defined in Elektrobit T&C)
- Including MAINTENANCE (as defined on page ""Definitions"")";3 months;3 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Elektrobit Tooling Licence;License;;FlexNet Publisher Application Activation Code;6400;10;50;Fix rate;FALSE;;UpdateRightByConfiguration;TRUE
;277;Dongled License extension from EB tresos Studio for ACG6;License extension from EB tresos Studio for ACG6 to EB tresos Studio for ACG7. After license change this license can also be used for Studio for ACG 7. Includes software updates and patch releases for Studio for ACG 7 for one year (no upgrades to any other Studio major version is included).;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
